X,Y,Name,Direcci__n,Localidad,Provincia,Web,Tlf,X,Y,_info,info,n
0.0,0.000000026167978,Camping El Torcal,Ctra. 7075, km. 49, 29200 Antequera, Málaga,Antequera,Málaga,campingeltorcal.com,952 11 16 08,36.98634,-4.53231
0.0,0.000000026167978,Camping Presa La Viñuela,La Viñuela, 356, 29713 Málaga,Los Romanes,Málaga,campinglavinuela.es,952 55 45 62,36.8738955,-4.1850209,
0.0,0.000000026167978,Camping Málaga: Lazy Days Spain,Calle Cañadas, s/n, 29532 Mollina, Málaga,Mollina,Málaga,lazydaysinspain.com,952 74 02 36,37.1286811,-4.6543235
0.0,0.000000026167978,"Camping, A Coruña, A Lagoa Valdoviño",Aldea a Lagoa, 9, 15552 Valdoviño, A Coruña,Valdoviño,A Coruña,campingalagoa.com,881 06 26 56,"436,121,755",-81
0.0,0.000000026167978,Camping La Ballena Alegre Costa Brava,"Carretera Sant Martí d&apos;Empúries", s/n, 17470, Girona,San Martín de Ampurias,Girona,ballena-alegre.com,972 52 03 02,"421,531,793",31
0.0,0.000000026167978,Camping Caballo de Mar,Passeig Marítim, 52, 08397 Pineda de Mar, Barcelona,Pineda de Mar,Barcelona,caballodemar.com,937 67 17 06,"416,185,311",26
0.0,0.000000026167978,Camping El Mirador de Cabañeros,Cañada Real, s/n, 13110 Horcajo de los Montes, Cdad. Real,Horcajo de los Montes,Cdad. Real,campingcabaneros.com,926 77 54 39,"39,323,077",-4
0.0,0.000000026167978,CAMPING BARDENAS,Ctra. NA-660, PK 13.4, 31330 Villafranca, Navarra,Villafranca,Navarra,campingbardenas.com,948 84 61 91,"422,632,791",-17
0.0,0.000000026167978,Camping Albufera de Anna,Paraje del Lago, S/N, 46820 Anna, Valencia,Anna,Valencia,ajuntamentanna.es,962 21 05 63,"390,087,656",-0.6560414
0.0,0.000000026167978,Camping Alfacs,Av. Mar, 1, 43530 Alcanar, Tarragona,Alcanar,Tarragona,campingalfacs.negocio.site,977 74 05 61,"405,951,645",0.5705454
0.0,0.000000026167978,"Camping Capfun Amfora d&apos;Arcs",N340 Km 1145, 43850 Cambrils, T,Cambrils,T,capfun.com,977 36 12 11,"41,078,591",1,065
0.0,0.000000026167978,Camping Ampolla Playa,Passeig Platja Arenal, s/n," 43895 L&apos;Ampolla", T,La Ampolla,T,campingampolla.es,977 46 05 35,"407,987,932",0.6992448
0.0,0.000000026167978,Camping Angosto,Ctra, Angosto Errepidea, 2 bis, 01426 Villanañe, Álava,Villanañe,Álava,camping-angosto.com,945 35 32 71,42.8423553
0.0,0.000000026167978,Camping Playa de Taurán Asturias,Paraje Taurán, s/n, 33700 Luarca Valdés, Asturias,San Martín,Asturias,campingtauran.com,985 64 12 72,"435,513,174",-65
0.0,0.000000026167978,Camping Baliera,N-260, Km 355,5, 22486 Bonansa, Huesca,Bonansa,Huesca,baliera.com,974 55 40 16,"42,439,647"
0.0,0.000000026167978,Camping Bellsol,Passeig Marítim, 46, 08397 Pineda de Mar, Barcelona,Pineda de Mar,Barcelona,campingbellsol.com,937 67 17 78,"41,619,099",26
