Country,Town,Site Name,Location,Services,Cost,Altitude,Latitude,Longitude,Website URL,Site Type,Comments
Andorra,Canillo,,Countryside,,€0.00,1284,42.572822,1.586612,http://ourbumble.com/llorvorsi-to-villefranche-de-la-chalfort/,Wild,Brilliant parking spot for lunch with stunning views over Canillo and mountain peaks.  Waterfalls just behind.
Andorra,Ordino,,Countryside,Trash,€0.00,1984,42.555923,1.57153,http://ourbumble.com/llorvorsi-to-villefranche-de-la-chalfort/,Mixed Parking,Lay by right at the mountain pass with stunning views on both sides of the road.  
Andorra,Ordino,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrashToiletsWi-Fi",€7.00,1288,42.555916,1.53263,http://ourbumble.com/llorvorsi-to-villefranche-de-la-chalfort/,Rest Area & Services,Small car park / aire at the side of ports centre. €0.50 per hour max €7 per day with max 48 hour stay. Motorhome service point.  Free wifi inside library.
Andorra,Arcais,,Countryside,"ToiletsShowers",€0.00,2223,42.631773,1.482459,http://ourbumble.com/llorvorsi-to-villefranche-de-la-chalfort/,Mixed Parking,Car park at the bottom of the sky run. Cafe with great valley views
Andorra,El Serrat,,Countryside,Trash,€0.00,1940,42.63184,1.501141,http://ourbumble.com/llorvorsi-to-villefranche-de-la-chalfort/,Mixed Parking,"Massive car park at the bottom of the sky lift.  Flat, level Tarmac with fine view down the valley with odd few waterfalls thrown in for good measure. "
Andorra,Pas de la Casa,,Countryside,,€0.00,2425,42.540494,1.718001,http://ourbumble.com/llorvorsi-to-villefranche-de-la-chalfort/,Mixed Parking,Loose gravel car park at top of the mountain pass with stunning views down the valley and across the peaks.  No restrictions for Motorhomes or camping.  
Austria,Wacht,,Countryside,"Fresh WaterTrash",€0.00,649,46.797645,12.839411,http://ourbumble.com/lake-jansa-to-lofer/,Wild,Small layby in middle of countryside. 
Austria,Lienz,,Village/Town/City,,€0.00,679,46.832834,12.752268,http://ourbumble.com/lake-jansa-to-lofer/,Mixed Parking,"Free parking very close to centre, toboggan run and castle .  No overnight parking permitted.  The car park does has a manual barrier that we assume is locked overnight."
Austria,Lienz,,Village/Town/City,,€0.00,681,46.827749,12.761863,http://ourbumble.com/lake-jansa-to-lofer/,Mixed Parking,"Car park with no restrictions.  Just off the main road and short stroll to centre.  Flat, level, tarmac surface."
Austria,Dollach,,Village/Town/City,Fresh Water,€0.00,1027,46.96892,12.896224,http://ourbumble.com/lake-jansa-to-lofer/,Wild,Lay by at the side of the main road.  Great views of the valley.  Small waterwheel to the side and supermarket just down the hill.  Ideal spot for pre grossglockner drive. 
Austria,Fusch,,Countryside,Trash,€0.00,1144,47.169152,12.812717,http://ourbumble.com/lake-jansa-to-lofer/,Mixed Parking,Tarmac car park at the entrance to grossglockner pass.  Stunning views and lovely walks
Austria,Kirchbach,,Countryside,"Fresh WaterTrash",€0.00,626,46.645631,13.168672,http://ourbumble.com/trieste-to-lake-jansa/,Mixed Parking & Services,Layby with great views.  Flat tarmac so n need for chocs.  Water tap and rubbish. B111 can be noisy during the day.
Belgium,Bruges,Kampeerautoterain 1,Village/Town/City,"Black WaterFresh WaterGrey WaterTrashElectric",€25.00,-9,51.196076,3.225659,http://ourbumble.com/belgium-waffles/,Rest Area & Services,"Two aires and a coach park located just off the main ring road. Great location for access to Bruges as only 5 minutes walk to centre. The aire is situated on the river with pleasant views over the marina and boats.   Reasonably quite with a little road noise.  Good clean parking bays with electric.  The services could be improved as only one rubbish point for all 3 sites and only one grey water dump located on the smaller of the site."
