name,city,type
"Camping Osuna",""Madrid",",campsite
"Camping El Valle",""Madrid",",campsite
"Camping Madrid Arco Iris",""Madrid",",campsite
"Camping San Juan",""Madrid",",campsite
"Camping Pico de la Miel",""Madrid",",campsite
"Camping Capfun El Escorial",""Madrid",",campsite
"Camping Piscis",""Madrid",",campsite
"Camping Internacional Aranjuez",""Madrid",",campsite
"Camping La Nava",""Madrid",",campsite
"Area las Cigueñas",""Madrid",",campsite
"FERNANMOR S.L.",""Madrid",",campsite
"Camping Los Herrenes",""Madrid",",campsite
"Camping el Ortigal",""Madrid",",campsite
"Camping Privado Caravan Garden",""Madrid",",campsite
"Camping Arganda",""Madrid",",campsite
"Camping El Canto la Gallina",""Madrid",",campsite
"Finca De Los Sueños",""Madrid",",campsite
"Camping soto",""Madrid",",campsite
"Bungalows - Camping - Alpha",""Madrid",",campsite
"Belo’s Farm",""Madrid",",campsite
"Camping 3 Estrelles",""Barcelona",",campsite
"Càmping Bon Repòs",""Barcelona",",campsite
"Camping BARCELONA",""Barcelona",",campsite
"Camping Estrella de Mar",""Barcelona",",campsite
"Camping Bellsol",""Barcelona",",campsite
"Vilanova Park",""Barcelona",",campsite
"Càmping Enmar",""Barcelona",",campsite
"Camping Mar De Cunit",""Barcelona",",campsite
"Campinggemeinschaft Roquetes",""Barcelona",",campsite
"Càmping Riudarenes S.L.",""Barcelona",",campsite
"Camping Platja Vilanova",""Barcelona",",campsite
"Camping la Rueda",""Barcelona",",campsite
"Camping El Far",""Barcelona",",campsite
"Càmping Oasis",""Barcelona",",campsite
"Càmping Masnou",""Barcelona",",campsite
"Camping Resort Els Pins",""Barcelona",",campsite
"Càmping Mas Albà",""Barcelona",",campsite
"Paramount Places",""Barcelona",",campsite
"Càmping La Verneda",""Barcelona",",campsite
"Càmping El Toro Azul",""Barcelona",",campsite
"Valencia Camper Park",""Valencia",",campsite
"Camping San Vicente",""Valencia",",campsite
"Camping Malvarrosa de Corinto",""Valencia",",campsite
"Camping Sierra Calderona",""Valencia",",campsite
"CAMPING MONMAR",""Valencia",",campsite
"camping bungalow park albufera",""Valencia",",campsite
"Coll Verd Càmping",""Valencia",",campsite
"Camping Los Naranjos",""Valencia",",campsite
"Camping Valencia El Saler",""Valencia",",campsite
"Camping Barraquetes",""Valencia",",campsite
"Chellanatura, mini boerderijj camping, parking-",""Valencia",",campsite
"Camping Park El Saler",""Valencia",",campsite
"Camping Puzol Mediterráneo",""Valencia",",campsite
"Camping Puzol - Camping Playa",""Valencia",",campsite
"Camping San Pascual",""Valencia",",campsite
"XERACO CAMPERS*** ONLY FOR MOTORHOME/AUTOCARAVANAS/CAMPING-CAR",""Valencia",",campsite
"Nomadic Valencia Camping Car",""Valencia",",campsite
"Camping Tavernes De La Valldigna",""Valencia",",campsite
Camping,""Valencia",",campsite
"Camping Villa De Viver",""Valencia",",campsite
"Camping Villsom Sevilla",""Sevilla",",campsite
"Camping Dehesa Nueva",""Sevilla",",campsite
"Camping Puebla",""Sevilla",",campsite
"Autocaravans Sevilla",""Sevilla",",campsite
"HUTTOPIA PARQUE DE DOÑANA",""Sevilla",",campsite
"Kampaoh El Rocío",""Sevilla",",campsite
"Camping Sierra Brava",""Sevilla",",campsite
"Camping La Aldea",""Sevilla",",campsite
"Sotano duarte",""Sevilla",",campsite
"Area camping car",""Sevilla",",campsite
"Camper Duke",""Sevilla",",campsite
"Finca Angela Sevilla",""Sevilla",",campsite
"Multiparking La Jabega",""Sevilla",",campsite
"Área de Autocaravanas Aires",""Sevilla",",campsite
"Motorhome Parking Area El Castillo de las Guardas",""Sevilla",",campsite
"Finca Buenaventura",""Sevilla",",campsite
"Camping Ciudad De Zaragoza",""Zaragoza",",campsite
"Camping Club Bohalar",""Zaragoza",",campsite
"Camping El Temple",""Zaragoza",",campsite
"Kampaoh Almacén Zaragoza",""Zaragoza",",campsite
Longares,""Zaragoza",",campsite
"Área autocaravanas Escatrón",""Zaragoza",",campsite
"Wohnmobilstellplatz Valfonda de Santa Ana",""Zaragoza",",campsite
"C. Corridor, 91, 50007 Zaragoza Spain",""Zaragoza",",campsite
"Zona de descanso y Acampada con Permiso.",""Zaragoza",",campsite
"Área de Autocaravanas Belchite",""Zaragoza",",campsite
"Camping Bohalar",""Zaragoza",",campsite
"Fuente de las Mujeres",""Zaragoza",",campsite
"Camping Cabopino",""Málaga",",campsite
"Camping Almayate Costa..",""Málaga",",campsite
"Camping Park Pizarra",""Málaga",",campsite
"Camping Torre del Mar",""Málaga",",campsite
"Camping Los Jarales",""Málaga",",campsite
"Camping Valle Niza",""Málaga",",campsite
"Camping El Pino en Málaga, Costa del Sol",""Málaga",",campsite
"Camping La Buganvilla",""Málaga",",campsite
"Camping y Apartamentos Parque Ardales",""Málaga",",campsite
"Camping Iznate",""Málaga",",campsite
"Kampaoh Benajarafe",""Málaga",",campsite
"Camping Laguna Playa",""Málaga",",campsite
"Caminito del Rey. PARQUE ARDALES",""Málaga",",campsite
"Camping Cortijo San Miguel (Nerja)",""Málaga",",campsite
"Camping Granada - Los Bermejales",""Málaga",",campsite
"Kampaoh Marbella",""Málaga",",campsite
"Camping Torremolinos",""Málaga",",campsite
"Camping Bungalows La Sierrecilla",""Málaga",",campsite
"Finca Oasis las Palmeras Caravan parking",""Málaga",",campsite
"Kampaoh Costa del Sol",""Málaga",",campsite
"Lisboa Camping",""Lisboa",",campsite
"Camping Club Almada Municipality",""Lisboa",",campsite
"Orbitur Costa de Caparica",""Lisboa",",campsite
