location,site_type,comments,latitude,longitude,town
Village/Town/City,"Mixed Parking","Free car park at ijzerdijk tower. Quiet except for the odd passing train.  5 minutes walk in to the village centre",51.03051400,2.85377700,Diksmuide
Village/Town/City,"Rest Area & Services","Small free aire for 6 Motorhomes.  Located to one side of a large car park and within walking distance of the town and waters edge",43.44573200,3.67756300,"Baleruc les Bains"
Village/Town/City,"Mixed Parking","Flat level car park.  The car park is metered between 9-6 at €1.30 per hour.  However, if you drive right to the very end near Daikia building there are a dozen parking spots that are not metered.  Quiet at night and within easy walking distance of the city.",43.61319300,3.88707100,Montpellier
Village/Town/City,"Mixed Parking","Flat, leave and quiet along tree lined street. The parking bays are covered with trees, so plenty shelter and also good protection for the rear/front of the van.  Narbonne accessories are only a few kilometres down the road and so unfurl if you need to stay over.  Better than staying on the industrial estate.",43.64412300,3.96238800,"Saint Aunės"
Village/Town/City,"Mixed Parking","Nimes city centre is paid parking but this little car park is right on the edge of the paid area, so very close to city.  Off main road, so reasonably quiet but there is still passing traffic and trains",43.82632000,4.35753200,Nimes
Village/Town/City,"Mixed Parking","Small car park, flat and tarmaced.  Not far from centre and close by to water tap.  Reasonably quiet but the still  trains at night can be loud.",43.82427200,4.35473400,Nimes
Countryside,Wild,"Small piece of land which is only 2km from the Pont du Gard entrance.",43.95481800,4.54634300,"Pont du Gard"
Village/Town/City,"Mixed Parking","Parking area next to the Seine river, 15 minute walk to the Cathedral. Sports facility next door.",49.43018000,1.10566000,Rouen
Village/Town/City,Wild,"Laybye next to the Les Bords de l'Eure campsite which is closed out of season.",48.43467000,1.49631000,Chartres
Village/Town/City,Campsite,"Les Bords de l'Eure campsite closed in winter so cannot comment on facilities. Appeared clean & tidy though.",48.43467000,1.49631000,Chartres
Village/Town/City,"Mixed Parking","7€ to park in the day & another 10€ to park overnight although the signs indicate it would be 10€ for everything, Water taps onsite but not working as of 13/12/14. The Chateaux entrance fee is 11€ for adults.",47.61593001,0.51135000,Chambord
Village/Town/City,"Mixed Parking","Car park located next to the Chateaux, entrance price is €12.50 but free parking, no facilities but right next to the village centre.",46.20585000,0.16371000,Chaunay
Village/Town/City,"Mixed Parking","Car park located near main road so some noise, lots of space though and easy access to the shops at Carrefour.",44.86525300,0.51807800,Bordeaux
Beach,"Rest Area & Services","Expensive for what it is, free electricity but no other extra facilities for your money, watch out for the machine on entry as it is easy to pay for 2 nights (max) instead of one.This Aire is only 2 minutes walk from a great beach.",43.46596300,1.57192200,Biaritz
Countryside,"Mixed Parking","Loose gravel car park on a bit of a slope.  Nice and quiet and only 5 minutes walk to natural Roman baths.",42.48690500,1.94474100,Dorres
Village/Town/City,"Mixed Parking","Small off the road car park which is idea for visiting the village.  Overnight is free and small parking fee of €2 for the day 9-19.",42.58620700,2.36576400,"Villefranche de Conflent"
Beach,Wild,"On the tip of the headland as you look across the bay to Marseille.  Stunning location and right next door to a small fishing village.  No services but well worth it for the peace and view.",43.21173300,5.35096600,Callelongue
Village/Town/City,"Mixed Parking","Small car park.  No facilities but Tarmac suface and level.  No restrictions.",43.11768600,5.88409300,"La Seyne Sur Mer"
Village/Town/City,"Mixed Parking","Toulon city centre car park that permits campers.  9-17 €2.50 flat fee but free there after.  Quite a few homeless people in and around camper parking.",43.12703400,5.93663600,Toulon
Beach,"Mixed Parking","Dusty gravel car park with plenty trees offering shade.  A bit uneven in places but plenty opportunity to find right spot.  Access to two beaches - one nudist and one regular.  Both pebble coves.  Nice and quiet in the evenings.",43.10202500,6.01667400,"Le Pradet"
Beach,"Mixed Parking","Good little car park for free 24 stop over.  No facilities but right on beach and not far from village",43.11406400,6.19538700,Hyeres
Village/Town/City,"Mixed Parking","Small free sire with basic site services . Machine was not in service but plenty space and level Tarmac surface.",43.13192300,6.23059500,"La Londe les Maures"
Beach,Wild,"Wide pavement / lay by for parking with nice elevated views over the coast.  A few minutes walk to the beach.",43.14963700,6.41597500,"Le Lavandou"
Beach,"Mixed Parking","On street parking.  Flat and Tarmac, right on beach front.  Metered during the day 9-19 which is €1 per hour. May be able to stay overnight out of season.",43.18562100,6.59404700,"Plate de Gigaro"
NULL,Wild,"Waste land not to far from the beach, land is uneven and not ideal. There is shade though from the trees.",43.21983000,6.64766500,Pampelonne
Village/Town/City,"Mixed Parking","Car park located opposite Motorhome stores next to main road, quiet at night and space for about 10 vans.",43.21983000,6.64766500,"Roquebrune sur Argens"
NULL,"Mixed Parking","Car park next to cemetery, with shade under some pine trees, dedicated parking for 4 vans but lots of space on the car park, and side street.",43.67725000,7.21913000,Nice
Village/Town/City,"Rest Area & Services","Aired located about 6km from the beach and 1km to town, on main road but very quiet at night. Space for about 10 vans. Black waste goes in the grid with the grey water.",43.67701500,7.20175100,Saint-Laurent-du-Var
Village/Town/City,"Mixed Parking","Small parking space next to a car park and cemetery, space for 2 vans only. Close to lidl and the town centre, there is a national monument next to it also.Site slopes downhill slightly.",43.66880000,7.14477800,"Cagnes sur mer"
Harbour,"Rest Area & Services","Now closed, aire now in located back towards the town centre on your right.",50.96586000,1.84347000,Calais
Beach,"Rest Area & Services","Free aire with space for 30 van, no services but water and toilets available on the promenade which is right next to the aire.Good spot right on the beach",51.05325500,2.41456200,Dunkirk
Beach,"Mixed Parking","Car with permitted motorhome and coach parking. No limits on stay and overnight permitted. One block away from beach front and promenade.  Tourist information building adjacent to the car park.Toilet facilities for fresh water and emptying loo.",51.07802600,2.51477500,"Bray Dunes"
Village/Town/City,"Mixed Parking","On street parking located at the side of the river.  Quiet and shaded and not far from town.",43.94669500,4.79513500,Avignon
Village/Town/City,"Mixed Parking","Small car park right next to ruin and great views over vineyards.  No facilities but the location is stunning.  2 minutes to village with plenty options for wine tasting.",44.05817900,4.82877000,"Chateau du Pape"
Village/Town/City,"Mixed Parking","Small free car park at lavender museum.  Water tap and tolerates overnight parking.",43.86982200,5.14581500,"Sentient du Vallon"
Village/Town/City,Wild,"Large open land just outside of gorges.  No facilities but plenty places to park up",43.90113300,5.19312700,Gorges
Village/Town/City,"Mixed Parking","A small little artistic village with chateau.  Parking on the road on a small car park in the village but get very busy in peak season.  Water fountain in town but difficult to fill containers due to limescale build up.",43.76227500,5.35939700,Lourmarin
Village/Town/City,Wild,"Spare piece of land at the side of the Pays D'Aix football ground.  Large stone surface and flat.  Only 2k to city.",43.52456900,5.46049500,"Aix Provençal"
Village/Town/City,"Mixed Parking","Excellent spot for wild camping in a city.  Straight on the front, a couple of miles out of the city and great sunsets.  On a main road, which is quieter in evening.",43.27775600,5.35530200,Marseille
Village/Town/City,"Mixed Parking","Dedicated motorhome parking for 7 vans just past the coach parking area. Partial shade from trees. Just a short walk to the village centre. Maximun stay is 48 hours. Makes sure you follow the sign post for the town though as the tomtom takes you down narrow roads that may be a problem for wider vans.",43.70230200,7.11681300,"Saint paul de vence"
NULL,"Mixed Parking","Parking space located next to supermarket and just on the end of town.  Overnight parking permitted",43.72024000,7.11148600,Vence
Countryside,"Mixed Parking","Small car park for visiting the abbey with no restrictions.  Toilet facilities just to the left as you enter the abbey grounds.",42.59482000,2.41606700,Codalet
Countryside,"Mixed Parking","One of the best wild camping spots but not for the faint hearted.  Perched right at the end of the chateau car park on the tip of the rock.  Brilliant 360 views of countryside and chateau.",42.83965500,2.61938800,Cucugnan
Countryside,"Mixed Parking","Small lay by suitable for overnight stop if visiting the chateau.  Loose gravel on a slope but a few flat spots.",42.87000600,2.57273000,Peyrepertuse
Village/Town/City,"Mixed Parking","Plenty room for on street parking with no restrictions. Fresh water near sports facility.  Old town has height restriction of 2.5m",42.99819600,2.25602800,"Alets les Bains"
Village/Town/City,"Mixed Parking","Flat, Tarmac car park right at the side of the open air swimming pool,  fresh water spring and communal washing area.  Two minutes walk in to village with basic village shops. Swimming pool €3 includes toilets and showers.",43.00047200,2.25202500,"Alets les Bains"
Village/Town/City,"Mixed Parking","Small car park tucked between two small retail outlets and facing the post office.  The units are unoccupied and free to park.  Flat, Tarmac and level.  Parking inside town €20 for the day.",43.20892400,2.37962400,Carcassonne
Village/Town/City,"Mixed Parking","Main car parks in city cost €2 per hour or €20 per day.  We found this free parking spot right by the river and overlooking the walled city.  Tarmac and level.  Follow for hospital and then take a right turn under bridge and parking just there.  All marked out and free with no restrictions.",43.21140900,2.35899600,Carcassonne
Village/Town/City,"Mixed Parking","Car park with no restrictions.  Great for visiting bricoman, Motorhome accessory shop, supermarket and cheap fuel. Very quiet in the evenings",43.32300700,3.28973500,Beziers
Village/Town/City,Wild,"Free to park along the canal and €2 for camper services.  Great view along the canal with colourful barges.  Also aire along the canal",43.31662400,3.28465900,Beziers
Village/Town/City,"Mixed Parking","Quiet, lose gravel road at the side of the canal and within minutes of town centre.  Right at the side of an old disused lock.",43.33527400,3.20810200,Beziers
Village/Town/City,"Mixed Parking","Large tarmac carpark at the side of the walled city. €0.20 for 1st hour and then€1 per hour after with max €6 for the day. Reasonably quiet and well lit at night",43.84601700,10.49487600,Lucca
Village/Town/City,"Mixed Parking","Flat car park at the side of Lidl.  No limitations and good base for visiting the town of Pescia",43.89838000,10.69050800,Pescia
