name,address,rating,website,schedule,latitude,longitude,city
"Camping Osuna","C. Jardines de Aranjuez s/n Madrid",3.9,http://www.campingosuna.com/,"[Monday: 8:00u202fAMu2009–u200911:30u202fPM Tuesday: 8:00u202fAMu2009–u200911:30u202fPM Wednesday: 8:00u202fAMu2009–u200911:30u202fPM Thursday: 8:00u202fAMu2009–u200911:30u202fPM Friday: 8:00u202fAMu2009–u200911:30u202fPM Saturday: 8:00u202fAMu2009–u200911:30u202fPM Sunday: 8:00u202fAMu2009–u200911:30u202fPM]",40.41677540,-3.70379020,Madrid
"Camping El Valle","Carretera M-610 Bustarviejo a Carr. de Miraflores km. 15 500 Bustarviejo",4,http://www.sierranorte.com/camping-elvalle/contacta.php,"[Monday: 10:00u202fAMu2009–u20099:00u202fPM Tuesday: 10:00u202fAMu2009–u20099:00u202fPM Wednesday: 10:00u202fAMu2009–u20099:00u202fPM Thursday: 10:00u202fAMu2009–u20099:00u202fPM Friday: 10:00u202fAMu2009–u20099:00u202fPM Saturday: 10:00u202fAMu2009–u20099:00u202fPM Sunday: 10:00u202fAMu2009–u20099:00u202fPM]",40.41677540,-3.70379020,Madrid
"Camping Madrid Arco Iris","M-501 7 1 Villaviciosa de Odón",4,http://www.campingmadridarcoiris.com/,"[Monday: 8:00u202fAMu2009–u200910:00u202fPM Tuesday: 8:00u202fAMu2009–u200910:00u202fPM Wednesday: 8:00u202fAMu2009–u200910:00u202fPM Thursday: 8:00u202fAMu2009–u200910:00u202fPM Friday: 8:00u202fAMu2009–u200910:00u202fPM Saturday: 8:00u202fAMu2009–u200910:00u202fPM Sunday: 8:00u202fAMu2009–u200910:00u202fPM]",40.41677540,-3.70379020,Madrid
"Camping San Juan","Km 22 2 M-600 Valdemorillo",4,http://www.campingsanjuan.com/,"[Monday: 8:00u202fAMu2009–u200912:00u202fAM Tuesday: 8:00u202fAMu2009–u200912:00u202fAM Wednesday: 8:00u202fAMu2009–u200912:00u202fAM Thursday: 8:00u202fAMu2009–u200912:00u202fAM Friday: 8:00u202fAMu2009–u200912:00u202fAM Saturday: 8:00u202fAMu2009–u200912:00u202fAM Sunday: 8:00u202fAMu2009–u200912:00u202fAM]",40.41677540,-3.70379020,Madrid
"Camping Pico de la Miel","C. del Camping La Cabrera",3.9,http://www.picodelamiel.com/,"[Monday: 9:00u202fAMu2009–u20099:00u202fPM Tuesday: 9:00u202fAMu2009–u20099:00u202fPM Wednesday: 9:00u202fAMu2009–u20099:00u202fPM Thursday: 9:00u202fAMu2009–u20099:00u202fPM Friday: 9:00u202fAMu2009–u20099:00u202fPM Saturday: 9:00u202fAMu2009–u20099:00u202fPM Sunday: 9:00u202fAMu2009–u20099:00u202fPM]",40.41677540,-3.70379020,Madrid
"Camping Capfun El Escorial","M-600 km 3 500 El Escorial",3.8,https://www.capfun.com/camping-espagne-communaute_madrid-escorial-FR.html,"[Monday: 9:00u202fAMu2009–u20091:00u202fPM 2:00u2009–u20097:00u202fPM Tuesday: 9:00u202fAMu2009–u20091:00u202fPM 2:00u2009–u20097:00u202fPM Wednesday: 9:00u202fAMu2009–u20091:00u202fPM 2:00u2009–u20097:00u202fPM Thursday: 9:00u202fAMu2009–u20091:00u202fPM 2:00u2009–u20097:00u202fPM Friday: 9:00u202fAMu2009–u20091:00u202fPM 2:00u2009–u20097:00u202fPM Saturday: 9:00u202fAMu2009–u20091:00u202fPM 2:00u2009–u20096:00u202fPM Sunday: 9:00u202fAMu2009–u20091:00u202fPM 2:00u2009–u20096:00u202fPM]",40.41677540,-3.70379020,Madrid
"Camping Piscis","M-625 km.18 Navalafuente",3.8,https://campiscis.com/,"[Monday: 10:00u202fAMu2009–u20098:00u202fPM Tuesday: 10:00u202fAMu2009–u20098:00u202fPM Wednesday: 10:00u202fAMu2009–u20098:00u202fPM Thursday: 10:00u202fAMu2009–u20098:00u202fPM Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",40.41677540,-3.70379020,Madrid
"Camping Internacional Aranjuez","Ctra. antigua N-IV Aranjuez",4.1,http://www.campingaranjuez.com/,"[Monday: 8:00u202fAMu2009–u200910:00u202fPM Tuesday: 8:00u202fAMu2009–u200910:00u202fPM Wednesday: 8:00u202fAMu2009–u200910:00u202fPM Thursday: 8:00u202fAMu2009–u200910:00u202fPM Friday: 8:00u202fAMu2009–u200910:00u202fPM Saturday: 8:00u202fAMu2009–u200910:00u202fPM Sunday: 8:00u202fAMu2009–u200910:00u202fPM]",40.41677540,-3.70379020,Madrid
"Camping La Nava","Carretera de Peguerinos- Alto del León KM 3600 Peguerinos",4.4,http://www.campinglanava.es/,"[Monday: Closed Tuesday: Closed Wednesday: Closed Thursday: Closed Friday: 12:00u2009–u200911:30u202fPM Saturday: 8:30u202fAMu2009–u200911:30u202fPM Sunday: 8:30u202fAMu2009–u20098:00u202fPM]",40.41677540,-3.70379020,Madrid
"Area las Cigueñas","Polígono atalayuela Madrid",4.2,https://www.facebook.com/Mastercaravaning,"[Monday: 8:00u202fAMu2009–u200912:00u202fAM Tuesday: 8:00u202fAMu2009–u200912:00u202fAM Wednesday: 8:00u202fAMu2009–u200912:00u202fAM Thursday: 8:00u202fAMu2009–u200912:00u202fAM Friday: 8:00u202fAMu2009–u200912:00u202fAM Saturday: 8:00u202fAMu2009–u200912:00u202fAM Sunday: 8:00u202fAMu2009–u200912:00u202fAM]",40.41677540,-3.70379020,Madrid
"FERNANMOR S.L.","Carretera de Bustarviejo KM 5 Cabanillas de la Sierra",4,"Website not available","[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",40.41677540,-3.70379020,Madrid
"Camping Los Herrenes","C. Borrico Parra 29 Moralzarzal",4.5,"Website not available","Schedule not available",40.41677540,-3.70379020,Madrid
"Camping el Ortigal","C. de los Montañeros 19D Manzanares el Real",4.4,"Website not available","Schedule not available",40.41677540,-3.70379020,Madrid
"Camping Privado Caravan Garden","Carretera Navalcarnero-Cadalso de los Vidrios km 22 Aldea del Fresno",4.4,"Website not available","Schedule not available",40.41677540,-3.70379020,Madrid
"Camping Arganda","Carr. Campo Real Km. 3 600 La Poveda",2.6,"Website not available","Schedule not available",40.41677540,-3.70379020,Madrid
"Camping El Canto la Gallina","Tr.ª dos de Mayo 1 Valdemaqueda",4.3,http://www.elcantolagallina.com/,"Schedule not available",40.41677540,-3.70379020,Madrid
"Finca De Los Sueños","Cam. de San Martín de la Vega a Arganda",4.5,https://finca-de-suenos.business.site/?utm_source=gmb&utm_medium=referral,"[Monday: 9:00u202fAMu2009–u200910:00u202fPM Tuesday: 9:00u202fAMu2009–u200910:00u202fPM Wednesday: 9:00u202fAMu2009–u200910:00u202fPM Thursday: 9:00u202fAMu2009–u200910:00u202fPM Friday: 9:00u202fAMu2009–u200910:00u202fPM Saturday: 9:00u202fAMu2009–u200910:00u202fPM Sunday: 9:00u202fAMu2009–u200910:00u202fPM]",40.41677540,-3.70379020,Madrid
"Camping soto","Ctra. Galápagos 63B Torrejón del Rey",4.4,"Website not available","Schedule not available",40.41677540,-3.70379020,Madrid
"Bungalows - Camping - Alpha","C. Calidad S/N Getafe",3.5,http://www.campingalpha.com/,"[Monday: 8:30u202fAMu2009–u200911:00u202fPM Tuesday: 8:30u202fAMu2009–u200911:00u202fPM Wednesday: 8:30u202fAMu2009–u200911:00u202fPM Thursday: 8:30u202fAMu2009–u200911:00u202fPM Friday: 8:30u202fAMu2009–u200911:00u202fPM Saturday: 8:30u202fAMu2009–u200911:00u202fPM Sunday: 8:30u202fAMu2009–u200911:00u202fPM]",40.41677540,-3.70379020,Madrid
"Belo’s Farm","PC6R+8C El Molar","Rating not available","Website not available","Schedule not available",40.41677540,-3.70379020,Madrid
"Camping 3 Estrelles","C-31 km 1862",3.8,http://tresestrellascampings.com/barcelona,"[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Càmping Bon Repòs","Passeig Marítim 17 Santa Susanna",4.1,http://www.campingbonrepos.com/,"[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Camping BARCELONA","Costa de Barcelona Avinguda del Maresme 665 Mataró",4.2,http://www.campingbarcelona.com/,"[Monday: 8:00u202fAMu2009–u200911:00u202fPM Tuesday: 8:00u202fAMu2009–u200911:00u202fPM Wednesday: 8:00u202fAMu2009–u200911:00u202fPM Thursday: 8:00u202fAMu2009–u200911:00u202fPM Friday: 8:00u202fAMu2009–u200911:00u202fPM Saturday: 8:00u202fAMu2009–u200911:00u202fPM Sunday: 8:00u202fAMu2009–u200911:00u202fPM]",41.38739740,2.16856800,Barcelona
"Camping Estrella de Mar","C-31 km 16.7 Castelldefels",3.6,http://www.caesmar.com/,"[Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours]",41.38739740,2.16856800,Barcelona
"Camping Bellsol","Passeig Marítim 46 Pineda de Mar",4.2,http://www.campingbellsol.com/,"[Monday: 8:00u202fAMu2009–u20098:00u202fPM Tuesday: 8:00u202fAMu2009–u20098:00u202fPM Wednesday: 8:00u202fAMu2009–u20098:00u202fPM Thursday: 8:00u202fAMu2009–u20098:00u202fPM Friday: 8:00u202fAMu2009–u200910:00u202fPM Saturday: 8:00u202fAMu2009–u200910:00u202fPM Sunday: 8:00u202fAMu2009–u20098:00u202fPM]",41.38739740,2.16856800,Barcelona
