name,city,type
"Camping Osuna",Madrid,camp
"Camping El Valle",Madrid,camp
"Camping Madrid Arco Iris",Madrid,camp
"Camping San Juan",Madrid,camp
"Camping Pico de la Miel",Madrid,camp
"Camping Capfun El Escorial",Madrid,camp
"Camping Piscis",Madrid,camp
"Camping Internacional Aranjuez",Madrid,camp
"Camping La Nava",Madrid,camp
"Area las Cigueñas",Madrid,camp
"FERNANMOR S.L.",Madrid,camp
"Camping Los Herrenes",Madrid,camp
"Camping el Ortigal",Madrid,camp
"Camping Privado Caravan Garden",Madrid,camp
"Camping Arganda",Madrid,camp
"Camping El Canto la Gallina",Madrid,camp
"Finca De Los Sueños",Madrid,camp
"Camping soto",Madrid,camp
"Bungalows - Camping - Alpha",Madrid,camp
"Belo’s Farm",Madrid,camp
"Camping 3 Estrelles",Barcelona,camp
"Càmping Bon Repòs",Barcelona,camp
"Camping BARCELONA",Barcelona,camp
"Camping Estrella de Mar",Barcelona,camp
"Camping Bellsol",Barcelona,camp
"Vilanova Park",Barcelona,camp
"Càmping Enmar",Barcelona,camp
"Camping Mar De Cunit",Barcelona,camp
"Campinggemeinschaft Roquetes",Barcelona,camp
"Càmping Riudarenes S.L.",Barcelona,camp
"Camping Platja Vilanova",Barcelona,camp
"Camping la Rueda",Barcelona,camp
"Camping El Far",Barcelona,camp
"Càmping Oasis",Barcelona,camp
"Càmping Masnou",Barcelona,camp
"Camping Resort Els Pins",Barcelona,camp
"Càmping Mas Albà",Barcelona,camp
"Paramount Places",Barcelona,camp
"Càmping La Verneda",Barcelona,camp
"Càmping El Toro Azul",Barcelona,camp
"Valencia Camper Park",Valencia,camp
"Camping San Vicente",Valencia,camp
"Camping Malvarrosa de Corinto",Valencia,camp
"Camping Sierra Calderona",Valencia,camp
"CAMPING MONMAR",Valencia,camp
"camping bungalow park albufera",Valencia,camp
"Coll Verd Càmping",Valencia,camp
"Camping Los Naranjos",Valencia,camp
"Camping Valencia El Saler",Valencia,camp
"Camping Barraquetes",Valencia,camp
"Chellanatura mini boerderijj camping parking-",Valencia,camp
"Camping Park El Saler",Valencia,camp
"Camping Puzol Mediterráneo",Valencia,camp
"Camping Puzol - Camping Playa",Valencia,camp
"Camping San Pascual",Valencia,camp
"XERACO CAMPERS*** ONLY FOR MOTORHOME/AUTOCARAVANAS/CAMPING-CAR",Valencia,camp
"Nomadic Valencia Camping Car",Valencia,camp
"Camping Tavernes De La Valldigna",Valencia,camp
Camping,Valencia,camp
"Camping Villa De Viver",Valencia,camp
"Camping Villsom Sevilla",Sevilla,camp
"Camping Dehesa Nueva",Sevilla,camp
"Camping Puebla",Sevilla,camp
"Autocaravans Sevilla",Sevilla,camp
"HUTTOPIA PARQUE DE DOÑANA",Sevilla,camp
"Kampaoh El Rocío",Sevilla,camp
"Camping Sierra Brava",Sevilla,camp
"Camping La Aldea",Sevilla,camp
"Sotano duarte",Sevilla,camp
"Area camping car",Sevilla,camp
"Camper Duke",Sevilla,camp
"Finca Angela Sevilla",Sevilla,camp
"Multiparking La Jabega",Sevilla,camp
"Área de Autocaravanas Aires",Sevilla,camp
"Motorhome Parking Area El Castillo de las Guardas",Sevilla,camp
"Finca Buenaventura",Sevilla,camp
"Camping Ciudad De Zaragoza",Zaragoza,camp
"Camping Club Bohalar",Zaragoza,camp
"Camping El Temple",Zaragoza,camp
"Kampaoh Almacén Zaragoza",Zaragoza,camp
Longares,Zaragoza,camp
"Área autocaravanas Escatrón",Zaragoza,camp
"Wohnmobilstellplatz Valfonda de Santa Ana",Zaragoza,camp
"C. Corridor 91 50007 Zaragoza Spain",Zaragoza,camp
"Zona de descanso y Acampada con Permiso.",Zaragoza,camp
"Área de Autocaravanas Belchite",Zaragoza,camp
"Camping Bohalar",Zaragoza,camp
"Fuente de las Mujeres",Zaragoza,camp
"Camping Cabopino",Málaga,camp
"Camping Almayate Costa..",Málaga,camp
"Camping Park Pizarra",Málaga,camp
"Camping Torre del Mar",Málaga,camp
"Camping Los Jarales",Málaga,camp
"Camping Valle Niza",Málaga,camp
"Camping El Pino en Málaga Costa del Sol",Málaga,camp
"Camping La Buganvilla",Málaga,camp
"Camping y Apartamentos Parque Ardales",Málaga,camp
"Camping Iznate",Málaga,camp
"Kampaoh Benajarafe",Málaga,camp
"Camping Laguna Playa",Málaga,camp
"Caminito del Rey. PARQUE ARDALES",Málaga,camp
"Camping Cortijo San Miguel (Nerja)",Málaga,camp
"Camping Granada - Los Bermejales",Málaga,camp
"Kampaoh Marbella",Málaga,camp
"Camping Torremolinos",Málaga,camp
"Camping Bungalows La Sierrecilla",Málaga,camp
"Finca Oasis las Palmeras Caravan parking",Málaga,camp
"Kampaoh Costa del Sol",Málaga,camp
"Lisboa Camping",Lisboa,camp
"Camping Club Almada Municipality",Lisboa,camp
"Orbitur Costa de Caparica",Lisboa,camp
"Ericeira Camping",Lisboa,camp
"Camping Picheleiros",Lisboa,camp
"EcoParque do Outão",Lisboa,camp
"SFUAP - Parque de Campismo Piedense",Lisboa,camp
"Camping Vasco da Gama",Lisboa,camp
"Parque de Campismo Orbitur Guincho",Lisboa,camp
"Alenquer Camping",Lisboa,camp
Campimeco,Lisboa,camp
"Camping Praia de Santa Cruz",Lisboa,camp
"Clube de Campismo de Lisboa (CCL)",Lisboa,camp
"Parque Verde",Lisboa,camp
"Parque de Campismo Municipal VFX",Lisboa,camp
"Bellas Glamping",Lisboa,camp
"Home Turistico",Lisboa,camp
"Forte do Cavalo Municipal Camping Park",Lisboa,camp
"Parque de Campismo Valbom",Lisboa,camp
"Parque de Campismo da Lagoa",Lisboa,camp
"Parque de Campismo de Vila Cha",Porto,camp
"ORBITUR Canidelo",Porto,camp
"GarfePark Camping",Porto,camp
"Orbitur - Angeiras",Porto,camp
"Parque Municipal de Campismo",Porto,camp
"CAMPING PARK FÃO",Porto,camp
"Camping Park of Furadouro",Porto,camp
"Camping Braga",Porto,camp
"Parque de Campismo de Vila do Conde",Porto,camp
"Parque de Campismo Marisol",Porto,camp
"Camping Medas",Porto,camp
"Parque de Campismo de Salgueiros",Porto,camp
"Camping Torreira Park",Porto,camp
"NaturVeredas Refúgio da Freita",Porto,camp
"Camping Vouzela Park",Porto,camp
"Istas Garden",Porto,camp
"Amarante camping",Porto,camp
"Parque de Campismo de Esmoriz",Porto,camp
"Rural Camping Park of Vila Fria",Porto,camp
"Parque de Campismo de Belinho",Porto,camp
"Camping & Glamping Muiñeira",Vigo,camp
"Camping de Canido",Vigo,camp
"Camping HIO",Vigo,camp
"Camping Paxariñas",Vigo,camp
"Camping Orbitur Caminha park",Vigo,camp
"Camping Rianxo",Vigo,camp
"Camping Playa Canelas",Vigo,camp
"Camping Cañiza",Vigo,camp
"Camping Paisaxe II",Vigo,camp
"Camping Salinas",Vigo,camp
"Camping Maceira",Vigo,camp
"Camping Limens",Vigo,camp
"Camping Moreiras",Vigo,camp
"Kampaoh Pintens",Vigo,camp
"Camping Baiona Playa",Vigo,camp
"Camping Las Dunas",Vigo,camp
"Camping Playa Rías Baixas",Vigo,camp
"Camping Santa Tecla",Vigo,camp
"Camping 1ª O Muiño - Bungalow Park",Vigo,camp
"Camping Paisaxe",Vigo,camp
"Camping Ribadesella Asturias",Gijón,camp
"Camping Covadonga in Cangas de Onis",Gijón,camp
"Camping Villaviciosa Asturias",Gijón,camp
"Camping Perlora",Gijón,camp
"Camping Buenavista in Perlora",Gijón,camp
"Camping Playa Sauces in Ribadesella",Gijón,camp
"Somiedo Camper Park",Gijón,camp
"Kampaoh Deva",Gijón,camp
"Camping Sella Camping in Asturias",Gijón,camp
"El Pedreru",Gijón,camp
"Camping Playa Spain",Gijón,camp
"Camping Los Arrudos Redes Aventura Caleao",Gijón,camp
"Camping Arenal de Moris",Gijón,camp
"Camping Yolimar",Gijón,camp
"Camping Deva Gijon",Gijón,camp
"Kampaoh Castrillón",Gijón,camp
"Parque Antonio Ortega",Gijón,camp
"Camping El Rinconín",Gijón,camp
"Camping Area di sosta camper Banugues-Gozon",Gijón,camp
"Camping Los Pradones",Gijón,camp
"Camping Caravaning La Manga",Murcia,camp
"Camping Florantilles",Murcia,camp
"Camping Playa de Mazarrón",Murcia,camp
"Camping La Fuente",Murcia,camp
"Camper Park San Fulgencio - Camping",Murcia,camp
"Camping Sierra Espuña",Murcia,camp
"Camping la Paz",Murcia,camp
"Camping San Javier",Murcia,camp
"Camping Las Torres Mazarron",Murcia,camp
"Sheppards Rest",Murcia,camp
"Camp El Tranquilo - Camp Pinoso - Adultos Solo - NO Children Pinoso Camp",Murcia,camp
"Càmping Les Palmeres",Murcia,camp
"Camping La Pedrera",Murcia,camp
"Camping Los Madriles",Murcia,camp
"CAMPING LA RAFA",Murcia,camp
"Camper park Casablanca murcia",Murcia,camp
"CAMPING EL REFUGIO",Murcia,camp
"Minicamping Oasis - Camping",Murcia,camp
"Área de caravanas y camper cartagena",Murcia,camp
"Camping Mar Menor",Murcia,camp
