name,city,type,Latitude,Longitude
Camping Osuna,Madrid,camp,40.4537342,-3.6033611
Camping El Valle,Madrid,camp,40.84349040000001,-3.7511179
Camping Madrid Arco Iris,Madrid,camp,40.3810174,-3.907052
Camping San Juan,Madrid,camp,,
Camping Pico de la Miel,Madrid,camp,40.8583642,-3.6163727
Camping Capfun El Escorial,Madrid,camp,40.6240497,-4.0994837
Camping Piscis,Madrid,camp,40.8089412,-3.690995399999999
Camping Internacional Aranjuez,Madrid,camp,40.0416943,-3.5990894
Camping La Nava,Madrid,camp,40.6557931,-4.2075501
Area las Cigueñas,Madrid,camp,40.3705107,-3.6416581
FERNANMOR S.L.,Madrid,camp,40.82194,-3.62778
Camping Los Herrenes,Madrid,camp,40.6747832,-3.9576909
Camping el Ortigal,Madrid,camp,40.7416764,-3.875385399999999
Camping Privado Caravan Garden,Madrid,camp,40.3092221,-4.250189
Camping Arganda,Madrid,camp,40.320445,-3.4534154
Camping El Canto la Gallina,Madrid,camp,40.5092894,-4.2879057
Finca De Los Sueños,Madrid,camp,36.6738183,-4.6224874
Camping soto,Madrid,camp,40.6793601,-3.3478566
Bungalows - Camping - Alpha,Madrid,camp,40.3171686,-3.688885599999999
Belo’s Farm,Madrid,camp,40.7103918,-3.5586912
Camping 3 Estrelles,Barcelona,camp,41.272401,2.0427398
Càmping Bon Repòs,Barcelona,camp,41.6317495,2.7210797
Camping BARCELONA,Barcelona,camp,41.5513733,2.4828059
Camping Estrella de Mar,Barcelona,camp,41.2698319,1.9992676
Camping Bellsol,Barcelona,camp,41.619099,2.6791795
Vilanova Park,Barcelona,camp,41.2320253,1.6928816
Càmping Enmar,Barcelona,camp,41.6219696,2.6863926
Camping Mar De Cunit,Barcelona,camp,41.1949741,1.6377465
Campinggemeinschaft Roquetes,Barcelona,camp,41.6642506,2.4838861
Càmping Riudarenes S.L.,Barcelona,camp,41.8085646,2.6859842
Camping Platja Vilanova,Barcelona,camp,41.2076314,1.6877855
Camping la Rueda,Barcelona,camp,41.1998891,1.6432778
Camping El Far,Barcelona,camp,41.6104356,2.6465107
Càmping Oasis,Barcelona,camp,45.469859,-72.811157
Càmping Masnou,Barcelona,camp,41.4753526,2.3039612
Camping Resort Els Pins,Barcelona,camp,41.6497746,2.7701145
Càmping Mas Albà,Barcelona,camp,41.2610256,1.8166639
Paramount Places,Barcelona,camp,33.8894598,-118.1597911
Càmping La Verneda,Barcelona,camp,41.6178221,2.6051425
Càmping El Toro Azul,Barcelona,camp,41.5834771,2.5679573
Valencia Camper Park,Valencia,camp,39.5798786,-0.4456732
Camping San Vicente,Valencia,camp,39.0533177,-0.1977363
Camping Malvarrosa de Corinto,Valencia,camp,39.7195615,-0.1936164
Camping Sierra Calderona,Valencia,camp,39.72223,-0.3600363
CAMPING MONMAR,Valencia,camp,39.8084335,-0.127309
camping bungalow park albufera,Valencia,camp,39.3870227,-0.3327275
Coll Verd Càmping,Valencia,camp,39.3956328,-0.3324727
Camping Los Naranjos,Valencia,camp,39.7814143,-0.1490081
Camping Valencia El Saler,Valencia,camp,39.387858,-0.331795
Camping Barraquetes,Valencia,camp,39.2418988,-0.2633712
Chellanatura mini boerderijj camping parking-,Valencia,camp,39.033931,-0.6854439999999999
Camping Park El Saler,Valencia,camp,39.3887673,-0.3319249
