type,luxury,beach,wild,rating,distance_km,longitude,latitude,cluster
0,0,0,0,3.9,9.458117357649856,-3.6033611,40.4537342,0
1,0,0,0,3.9,20.181317405751084,-3.6033611,40.4537342,0
1,0,0,0,3.9,24.87538277274473,-3.6033611,40.4537342,0
1,0,0,0,3.9,10.851164542794503,-3.6033611,40.4537342,0
1,0,0,0,3.9,28.066198174374595,-3.6033611,40.4537342,0
1,0,0,0,3.9,19.48903723484324,-3.6033611,40.4537342,0
1,0,0,0,3.9,22.45104399673904,-3.6033611,40.4537342,0
1,0,0,0,3.9,9.708217848100976,-3.6033611,40.4537342,0
2,0,0,1,3.9,22.581143026617312,-3.6033611,40.4537342,0
2,0,0,0,3.9,17.323596170180394,-3.6033611,40.4537342,0
2,0,0,0,3.9,11.844757980565252,-3.6033611,40.4537342,0
2,0,0,1,3.9,39.3427011396159,-3.6033611,40.4537342,0
0,0,0,0,4.0,47.55419251464518,-3.7511179,40.84349040000001,0
1,0,0,1,4.0,51.33559366835697,-3.7511179,40.84349040000001,0
1,0,0,1,4.0,48.86481832218007,-3.7511179,40.84349040000001,0
1,0,0,1,4.0,35.34363863136294,-3.7511179,40.84349040000001,0
2,0,0,1,4.0,42.23696170874288,-3.7511179,40.84349040000001,0
2,0,0,1,4.0,44.22764312636361,-3.7511179,40.84349040000001,0
2,0,0,1,4.0,33.31295554297825,-3.7511179,40.84349040000001,0
2,0,0,1,4.0,31.9276081000138,-3.7511179,40.84349040000001,0
0,0,0,0,4.0,17.70682278246619,-3.907052,40.3810174,0
1,0,0,1,4.0,47.09210063041693,-3.907052,40.3810174,0
1,0,0,0,4.0,13.38056349514773,-3.907052,40.3810174,0
1,0,0,1,4.0,37.57912917958532,-3.907052,40.3810174,0
1,0,0,0,4.0,19.56019118258564,-3.907052,40.3810174,0
1,0,0,0,4.0,12.95775583181836,-3.907052,40.3810174,0
1,0,0,0,4.0,7.724099436021698,-3.907052,40.3810174,0
1,0,0,0,4.0,28.718834916680446,-3.907052,40.3810174,0
2,0,0,0,4.0,10.810226738463395,-3.907052,40.3810174,0
2,0,0,0,4.0,11.227675888399332,-3.907052,40.3810174,0
2,0,0,1,4.0,30.94771234438261,-3.907052,40.3810174,0
2,0,0,1,4.0,28.974671015108097,-3.907052,40.3810174,0
0,0,0,0,3.9,49.59153113698771,-3.6163727,40.8583642,0
1,0,0,1,3.9,46.50609856274051,-3.6163727,40.8583642,0
1,0,0,1,3.9,46.16146769895123,-3.6163727,40.8583642,0
1,0,0,1,3.9,35.70250269244927,-3.6163727,40.8583642,0
2,0,0,1,3.9,47.72773903483805,-3.6163727,40.8583642,0
2,0,0,1,3.9,48.39889001557891,-3.6163727,40.8583642,0
2,0,0,1,3.9,33.25788697008932,-3.6163727,40.8583642,0
2,0,0,1,3.9,41.45644532973565,-3.6163727,40.8583642,0
0,0,0,0,3.8,40.67124335199057,-4.0994837,40.6240497,0
1,0,0,1,3.8,44.770160731821086,-4.0994837,40.6240497,0
1,0,0,1,3.8,51.0601532274328,-4.0994837,40.6240497,0
1,0,0,1,3.8,42.88397321813576,-4.0994837,40.6240497,0
1,0,0,1,3.8,38.444214640025976,-4.0994837,40.6240497,0
1,0,0,1,3.8,40.307058882014594,-4.0994837,40.6240497,0
2,0,0,1,3.8,25.72870288581274,-4.0994837,40.6240497,0
2,0,0,1,3.8,31.568026908165592,-4.0994837,40.6240497,0
2,0,0,1,3.8,49.34176955006376,-4.0994837,40.6240497,0
2,0,0,1,3.8,40.71140724209006,-4.0994837,40.6240497,0
2,0,0,0,3.8,7.982659972996047,-4.0994837,40.6240497,0
0,0,0,0,3.8,43.562071664695694,-3.690995399999999,40.8089412,0
1,0,0,1,3.8,45.183869568676215,-3.690995399999999,40.8089412,0
1,0,0,1,3.8,43.149735875354885,-3.690995399999999,40.8089412,0
1,0,0,0,3.8,30.51113048800483,-3.690995399999999,40.8089412,0
2,0,0,1,3.8,40.12950074425038,-3.690995399999999,40.8089412,0
2,0,0,1,3.8,41.32485259142359,-3.690995399999999,40.8089412,0
2,0,0,1,3.8,28.2943638790358,-3.690995399999999,40.8089412,0
2,0,0,1,3.8,33.12660052011087,-3.690995399999999,40.8089412,0
0,0,0,0,4.1,42.5912174146096,-3.5990894,40.0416943,0
1,0,0,1,4.1,52.91623702876032,-3.5990894,40.0416943,0
1,0,0,1,4.1,32.631160016562404,-3.5990894,40.0416943,0
1,0,0,1,4.1,47.272521037326186,-3.5990894,40.0416943,0
1,0,0,0,4.1,26.342330058375197,-3.5990894,40.0416943,0
1,0,0,1,4.1,35.31662135612935,-3.5990894,40.0416943,0
1,0,0,1,4.1,39.08337976528455,-3.5990894,40.0416943,0
2,0,0,1,4.1,53.16270818701911,-3.5990894,40.0416943,0
2,0,0,1,4.1,48.42439414316396,-3.5990894,40.0416943,0
0,0,0,0,4.4,50.25928664821901,-4.2075501,40.6557931,0
1,0,0,1,4.4,53.1205398003514,-4.2075501,40.6557931,0
1,0,0,1,4.4,59.26481505852029,-4.2075501,40.6557931,0
1,0,0,1,4.4,51.745237642016455,-4.2075501,40.6557931,0
1,0,0,1,4.4,47.0414959289831,-4.2075501,40.6557931,0
1,0,0,1,4.4,50.03827900852316,-4.2075501,40.6557931,0
2,0,0,1,4.4,35.127600637356814,-4.2075501,40.6557931,0
2,0,0,1,4.4,41.03110318730173,-4.2075501,40.6557931,0
2,0,0,1,4.4,40.05774804221216,-4.2075501,40.6557931,0
2,0,0,1,4.4,50.362339443666926,-4.2075501,40.6557931,0
2,0,0,0,4.4,17.30828062686507,-4.2075501,40.6557931,0
0,0,0,0,4.2,7.3633524663192595,-3.6416581,40.3705107,0
1,0,0,0,4.2,26.38232522937352,-3.6416581,40.3705107,0
1,0,0,0,4.2,16.39466635127577,-3.6416581,40.3705107,0
1,0,0,0,4.2,17.047427355692307,-3.6416581,40.3705107,0
1,0,0,0,4.2,18.58317627288205,-3.6416581,40.3705107,0
1,0,0,0,4.2,11.607533243125404,-3.6416581,40.3705107,0
1,0,0,0,4.2,16.03248084201381,-3.6416581,40.3705107,0
1,0,0,0,4.2,18.51924569585672,-3.6416581,40.3705107,0
2,0,0,1,4.2,22.392760672374827,-3.6416581,40.3705107,0
2,0,0,0,4.2,16.465061788936275,-3.6416581,40.3705107,0
2,0,0,1,4.2,20.967923273593964,-3.6416581,40.3705107,0
2,0,0,1,4.2,42.278136082019415,-3.6416581,40.3705107,0
0,0,0,0,4.0,45.449526049272976,-3.62778,40.82194,0
1,0,0,1,4.0,43.41411587381455,-3.62778,40.82194,0
1,0,0,1,4.0,42.54951386170577,-3.62778,40.82194,0
1,0,0,1,4.0,31.62412346278907,-3.62778,40.82194,0
